#,Player,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,China ZmjjKK,EDward Gaming | EDward Gaming,Neon | Jett | Raze,16,313,247,73,1.26,1.56,270,19.5,15.4,4.5
2,South Korea stew,JD Gaming | JD Gaming,Neon | Jett | Raze,8,148,106,26,1.39,1.64,250,18.5,13.2,3.2
3,China Life,FunPlus Phoenix | FunPlus Phoenix,Phoenix | Raze | Yoru,8,136,122,36,1.11,1.4,242,17,15.2,4.5
4,Russia Rarga,XLG Esports | XLG Esports,Neon | Raze | Jett,14,247,216,37,1.14,1.31,242,17.6,15.4,2.6
5,Taiwan happywei,XLG Esports | XLG Esports,Omen | Cypher | Viper,14,246,186,101,1.32,1.86,239,17.5,13.2,7.2
6,Singapore nephh,Bilibili Gaming | Bilibili Gaming,Viper | Skye | Omen,11,187,176,98,1.06,1.61,228,17,16,8.9
7,Taiwan Spring,Wolves Esports | Wolves Esports,Raze | Neon | Jett,5,84,82,17,1.02,1.23,225,16.8,16.4,3.4
8,China slowly,TYLOO | TYLOO,Astra | Breach | Sova,4,74,62,23,1.19,1.56,225,18.5,15.5,5.7
9,China FengF,Trace Esports | Trace Esports,Raze | Cypher | Vyse,11,188,167,33,1.12,1.32,225,17,15.1,3
10,China GuanG,Nova Esports | Nova Esports,Vyse | Cypher,9,156,120,28,1.3,1.53,225,17.3,13.3,3.1
11,China Z1Yan,JD Gaming | JD Gaming,Cypher | Vyse | Astra,8,132,107,37,1.23,1.57,225,16.5,13.3,4.6
12,China Ezeir,Nova Esports | Nova Esports,Astra | Brimstone,9,137,128,91,1.07,1.78,223,15.2,14.2,10.1
13,Iran Swerl,Nova Esports | Nova Esports,Raze | Jett,9,142,132,33,1.07,1.32,219,15.7,14.6,3.6
14,China yosemite,FunPlus Phoenix | FunPlus Phoenix,Viper | Clove,8,129,114,40,1.13,1.48,216,16.1,14.2,5
15,China cb,Nova Esports | Nova Esports,Deadlock | Neon | Sova,9,139,133,59,1.04,1.48,214,15.4,14.7,6.5
16,China Smoggy,EDward Gaming | EDward Gaming,Brimstone | Omen | Clove,16,261,215,142,1.21,1.87,212,16.3,13.4,8.8
17,China Biank,Trace Esports | Trace Esports,Fade | Sova,11,167,173,89,0.96,1.47,211,15.1,15.7,8
18,Indonesia deLb,All Gamers | All Gamers,Vyse | Yoru | Cypher,5,70,69,9,1.01,1.14,210,14,13.8,1.8
19,Russia vo0kashu,Dragon Ranger Gaming | Dragon Ranger Gaming,Cypher | Omen | Vyse,14,212,193,68,1.09,1.45,210,15.1,13.7,4.8
