Player,Agents
HYUNMIN,Raze
HYUNMIN, Jett
BuZz,Raze
BuZz, Yoru
BuZz, Neon
t3xture,Raze
t3xture, Jett
t3xture, Neon
free1ng,Tejo
Francis,Fade
Francis, Tejo
Francis, Breach
Dambi,Neon
Dambi, Raze
UdoTan,Jett
UdoTan, Raze
UdoTan, Deadlock
Karon,Omen
Karon, Brimstone
Karon, Astra
MaKo,Brimstone
MaKo, Omen
MaKo, Astra
Meteor,Iso
Meteor, Vyse
Meteor, Killjoy
Munchkin,Viper
Munchkin, KAY/O
Munchkin, Breach
akame,KAY/O
akame, Vyse
akame, Breach
Ivy,Vyse
Ivy, Viper
Ivy, Astra
Foxy9,Killjoy
Foxy9, Gekko
Foxy9, Cypher
Persia,Astra
Persia, Omen
Persia, Brimstone
Flashback,Cypher
Flashback, Viper
Flashback, Vyse
iZu,Cypher
iZu, Gekko
iZu, Tejo
ban,Gekko
ban, Deadlock
ban, Cypher
Estrella,Breach
Estrella, Astra
Estrella, Viper
carpe,Omen
carpe, Brimstone
carpe, Astra
margaret,Cypher
margaret, Vyse
margaret, Killjoy
Sylvan,Brimstone
Sylvan, Omen
Sylvan, Astra
yoman,Fade
yoman, Sova
yoman, Breach
stax,Sova
stax, Breach
stax, KAY/O
Jinboong,Astra
Jinboong, Cypher
Jinboong, Killjoy
BeYN,Sova
BeYN, Breach
BeYN, Fade
Jemkin,Jett
Jemkin, Raze
Jemkin, Brimstone
Meiy,Jett
Meiy, Raze
Meiy, Neon
Primmie,Deadlock
Primmie, Tejo
Primmie, Clove
famouz,Neon
famouz, Raze
Dep,Neon
Dep, Raze
Kushy,Sova
Kushy, Fade
f0rsakeN,Skye
f0rsakeN, Killjoy
f0rsakeN, Deadlock
Jinggg,Raze
Jinggg, Phoenix
Jinggg, Cypher
JessieVash,Sova
JessieVash, Cypher
JessieVash, Fade
Jremy,Jett
Jremy, Raze
something,Jett
something, Breach
something, Fade
BerserX,Killjoy
BerserX, Vyse
BerserX, Cypher
Kr1stal,Sova
Kr1stal, Fade
Kr1stal, Tejo
d4v41,Killjoy
d4v41, Sage
d4v41, Skye
JitboyS,Astra
JitboyS, Omen
JitboyS, Brimstone
monyet,Omen
monyet, Phoenix
monyet, Neon
xffero,Vyse
xffero, Killjoy
xffero, Astra
dos9,Brimstone
dos9, Astra
dos9, Omen
SyouTa,Cypher
SyouTa, Chamber
Art,Sova
Art, Skye
Art, Tejo
SugarZ3ro,Omen
SugarZ3ro, Brimstone
kellyS,Deadlock
kellyS, Vyse
kellyS, Breach
Shiro,KAY/O
Shiro, Viper
Shiro, Tejo
PapiChulo,Astra
PapiChulo, Omen
Xdll,Fade
Xdll, Sova
Xdll, Tejo
invy,KAY/O
invy, Deadlock
invy, Breach
Governor,Raze
Governor, Neon
Governor, Sova
mindfreak,Brimstone
mindfreak, Omen
mindfreak, Astra
gyen,Omen
gyen, Astra
2GE,Omen
2GE, Astra
Wild0reoo,Killjoy
Wild0reoo, Skye
Wild0reoo, Viper
Deryeon,Cypher
Deryeon, Chamber
Deryeon, Killjoy
NcSlasher,Fade
NcSlasher, Breach
Crws,Fade
Crws, Breach
Crws, Skye
CLZ,Breach
