#,Player,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
1,Russia Jemkin,Rex Regum Qeon | Rex Regum Qeon,Jett | Raze | Brimstone,12,245,190,60,1.28,1.6,257,20.4,15.8,5
2,South Korea HYUNMIN,DRX | DRX,Raze | Jett,13,255,221,49,1.15,1.37,245,19.6,17,3.7
3,Japan Meiy,DetonatioN FocusMe | DetonatioN FocusMe,Jett | Raze | Neon,9,159,131,29,1.21,1.43,241,17.6,14.5,3.2
4,South Korea BuZz,T1 | T1,Raze | Yoru | Neon,22,391,362,101,1.08,1.35,237,17.7,16.4,4.5
5,Thailand Primmie,TALON | TALON,Deadlock | Tejo | Clove,11,189,145,42,1.3,1.59,235,17.1,13.1,3.8
6,Indonesia famouz,BOOM Esports | BOOM Esports,Neon | Raze,6,97,91,24,1.06,1.32,231,16.1,15.1,4
7,Japan Dep,ZETA DIVISION | ZETA DIVISION,Neon | Raze,4,65,63,16,1.03,1.28,227,16.2,15.7,4
8,South Korea t3xture,Gen.G Esports | Gen.G Esports,Raze | Jett | Neon,14,248,222,41,1.11,1.3,222,17.7,15.8,2.9
9,South Korea free1ng,DRX | DRX,Tejo,13,241,195,70,1.23,1.59,222,18.5,15,5.3
10,Indonesia Kushy,Rex Regum Qeon | Rex Regum Qeon,Sova | Fade,12,200,175,86,1.14,1.63,222,16.6,14.5,7.1
11,Indonesia f0rsakeN,Paper Rex | Paper Rex,Skye | Killjoy | Deadlock,7,111,101,53,1.09,1.62,222,15.8,14.4,7.5
12,South Korea Francis,Nongshim RedForce | Nongshim RedForce,Fade | Tejo | Breach,14,235,219,126,1.07,1.64,219,16.7,15.6,9
13,South Korea Dambi,Nongshim RedForce | Nongshim RedForce,Neon | Raze,14,226,258,111,0.87,1.3,218,16.1,18.4,7.9
14,Singapore Jinggg,Paper Rex | Paper Rex,Raze | Phoenix | Cypher,7,108,98,23,1.1,1.33,218,15.4,14,3.2
